"","V1"
"hhid","case identification"
"hvidx","line number"
"hv000","country code and phase"
"hv001","cluster number"
"hv002","household number"
"hv003","respondent's line number (answering household questionnaire)"
"hv004","ultimate area unit"
"hv005","household sample weight (6 decimals)"
"hv006","month of interview"
"hv007","year of interview"
"hv008","date of interview (cmc)"
"hv008a","date of interview century day code (cdc)"
"hv009","number of household members"
"hv010","number of eligible women in household"
"hv011","number of eligible men in household"
"hv012","number of de jure members"
"hv013","number of de facto members"
"hv014","number of children 5 and under (de jure)"
"hv015","result of household interview"
"hv016","day of interview"
"hv017","number of visits"
"hv018","interviewer identification"
"hv019","na - keyer identification"
"hv020","ever-married sample"
"hv021","primary sampling unit"
"hv022","sample strata for sampling errors"
"hv023","stratification used in sample design"
"hv024","province"
"hv025","type of place of residence"
"hv026","na - place of residence"
"hv027","household selected for man's interview"
"hv028","household weight for male subsample (6 decimals)"
"hv030","field supervisor"
"hv031","na - field editor"
"hv032","na - office editor"
"hv035","number of eligible children for height and weight"
"hv040","cluster altitude in meters"
"hv041","total adults measured"
"hv042","household selected for hemoglobin"
"hv044","household selected for domestic violence module"
"hv045a","language of questionnaire"
"hv045b","language of interview"
"hv045c","native language of respondent"
"hv046","translator used"
"hv047","team number"
"hv048","team supervisor"
"hv801","time interview started (hhmm - 24 hour clock)"
"hv802","time interview ended (hhmm - 24 hour clock)"
"hv803","length of interview in minutes"
"hv804","number of visits for biomarker"
"hv807d","day of biomarker visit"
"hv807m","month of biomarker visit"
"hv807y","year of biomarker visit"
"hv807c","date of biomarker (cmc)"
"hv807a","date of biomarker century day code (cdc)"
"hv201","source of drinking water"
"hv202","source of non-drinking water"
"hv201a","na - water not available for at least a day last two weeks"
"hv201b","water for drinking not sufficient in the last month"
"hv204","time to get to water source (minutes)"
"hv205","type of toilet facility"
"hv206","has electricity"
"hv207","has radio"
"hv208","has television"
"hv209","has refrigerator"
"hv210","has bicycle/rickshaw"
"hv211","has motorcycle/scooter"
"hv212","has car/truck/tractor"
"hv213","main floor material"
"hv214","main wall material"
"hv215","main roof material"
"hv216","number of rooms used for sleeping"
"hv217","relationship structure"
"hv218","line number of head of household"
"hv219","sex of head of household"
"hv220","age of head of household"
"hv221","has telephone (land-line)"
"hv222","type of cook stove"
"hv223","type of cooking fuel"
"hv225","share toilet with other households"
"hv226","type of cooking fuel"
"hv227","has mosquito bed net for sleeping"
"hv228","na - children under 5 slept under mosquito bed net last night"
"hv230a","place where household members wash their hands"
"hv230b","presence of water at hand washing place"
"hv232","items present: soap or detergent"
"hv232b","items present: ash, mud, sand"
"hv232c","na - items present: cs"
"hv232d","na - items present: cs"
"hv232e","na - items present: cs"
"hv232y","items present: none"
"hv234","na - result of salt test for iodine (ppm)"
"hv234a","result of salt test for iodine"
"hv235","location of source for water"
"hv236a","line number person fetching water"
"hv237","anything done to water to make safe to drink"
"hv237a","water usually treated by: boil"
"hv237b","water usually treated by: add bleach/chlorine"
"hv237c","water usually treated by: strain through a cloth"
"hv237d","water usually treated by: use water filter"
"hv237e","water usually treated by: solar disinfection"
"hv237f","water usually treated by: let it stand and settle"
